epoch,elapsed,loss,acc,val_loss,val_acc
0,33.90133595466614,0.321771641974,0.9034,0.0727148528248,0.9773
1,33.38883709907532,0.107014870391,0.969199999968,0.0507045550149,0.9831
2,33.671735763549805,0.0834767457301,0.975466666667,0.0420503031205,0.9851
3,33.60979866981506,0.0699260231515,0.979033333365,0.0390424596624,0.9872
4,32.67063856124878,0.0609785502598,0.9819,0.0364126021784,0.9877
5,31.50682544708252,0.0541957765857,0.983850000032,0.0366442766682,0.9875
6,33.21743702888489,0.0507687800119,0.984416666635,0.0318805331537,0.9885
7,33.288097620010376,0.0462356963654,0.986099999968,0.0318057487178,0.988
8,33.051615715026855,0.0425317625582,0.987316666667,0.0306598811013,0.9899
9,33.23213791847229,0.0390550774356,0.988249999968,0.0318576333557,0.9892
10,33.19161510467529,0.038400202627,0.988599999968,0.0287422356384,0.9903
11,32.87903451919556,0.0336135838156,0.989816666667,0.0303517810802,0.9908
